,工程名稱,監造單位,施工廠商,施工期間,決標金額,重要公告,設計單位
10573,108年度苗栗縣泰安鄉士林村防災重機械待命及災害搶通修處理工程,苗栗縣泰安鄉公所,宏升土木包工業有限公司,民國108年04月02日至108年12月31日,950千元,截至108年09月底實際進度：  66.80%,
10574,108年度苗栗縣泰安鄉清安村防災重機械待命及災害搶通修處理工程,苗栗縣泰安鄉公所,翔昱營造有限公司,民國108年03月19日至108年12月31日,"1,875千元",截至108年09月底實際進度：  68.40%,
10575,108年度苗栗縣泰安鄉路燈修復工程(開口合約),苗栗縣泰安鄉公所,億萬達力企業有限公司,民國108年03月31日至108年12月31日,"1,915千元",截至108年09月底實際進度：  70.00%,
10576,108年度苗栗縣泰安鄉中興村防災重機械待命及災害搶通修處理工程,苗栗縣泰安鄉公所,安立土木包工業,民國108年03月29日至108年12月31日,933千元,截至108年09月底實際進度：  71.20%,
10577,108年度苗栗縣泰安鄉象鼻村防災重機械待命及災害搶通修處理工程,苗栗縣泰安鄉公所,宏升土木包工業有限公司,民國108年03月11日至108年12月31日,"1,902千元",截至108年09月底實際進度：  71.80%,
10578,108年度苗栗縣泰安鄉大興村防災重機械待命及災害搶通修處理工程,苗栗縣泰安鄉公所,安立土木包工業,民國108年02月25日至108年12月31日,932千元,截至108年09月底實際進度：  70.70%,
10579,108年度苗栗縣泰安鄉梅園村防災重機械待命及災害搶通修處理工程,苗栗縣泰安鄉公所,宏升土木包工業有限公司,民國108年03月04日至108年12月31日,960千元,截至108年09月底實際進度：  70.00%,
10580,苗栗縣泰安鄉公所行政大樓新建工程,李永崇建築師事務所,唐安營造工程有限公司,民國107年11月28日至109年05月10日,"78,000千元",截至108年08月底實際進度：  53.70%,薛惠兒建築師事務所
10581,泰安鄉清安村大坪部落支線、3鄰支線及大興村南清聯絡道路支線農路災後復建等三件工程,益將工程技術顧問有限公司,翔昱營造有限公司,民國108年07月16日至108年10月07日,"1,388千元",截至108年09月底實際進度：  92.90%,
10582,"108年基礎環境改善工程-錦水,清安,八卦,大興等村道路環境改善工程",益將工程技術顧問有限公司,翔昱營造有限公司,民國108年08月13日至109年01月02日,"7,950千元",截至108年09月底實際進度：  35.00%,
10583,108年基礎環境改善工程-中興、士林、象鼻、梅園等村道路環境改善工程,新向榮工程顧問有限公司,那魯彎營造有限公司,民國108年08月14日至108年12月18日,"8,313千元",截至108年09月底實際進度：  38.60%,
10584,108年度全鄉道路改善工程-錦水、清安、八卦、大興等村道路環境改善工程,益將工程技術顧問有限公司,誠東營造有限公司,民國108年09月25日至108年12月12日,"2,380千元",截至108年09月底實際進度：  22.60%,
10585,108年3月豪雨(N1)-苗栗縣泰安鄉中象聯絡道5K+000災害復建工程,新向榮工程顧問有限公司,那魯彎營造有限公司,民國108年08月13日至108年10月07日,"1,740千元",截至108年09月底實際進度：  89.30%,
10586,苗栗縣泰安鄉錦水.清安等村簡易自來水災害復建工程,益將工程技術顧問有限公司,健安水電工程有限公司,民國108年09月25日至108年11月26日,"2,560千元",截至108年09月底實際進度：  34.10%,
10587,泰安鄉梅園村梅園3號農路改善工程,新向榮工程顧問有限公司,昌振土木包工業,民國108年09月20日至109年10月14日,"1,375千元",截至108年09月底實際進度：   3.30%,
10588,108年度全鄉道路改善工程-中興、士林、象鼻、梅園等村道路環境改善工程,新向榮工程顧問有限公司,昌振土木包工業,民國108年09月30日至108年11月22日,"1,368千元",截至108年09月底實際進度：   8.80%,
10589,108年3月豪雨(H3)-苗栗縣泰安鄉梅園1號農路災害復建工程,新向榮工程顧問有限公司,昌振土木包工業,民國108年07月29日至108年10月24日,"1,620千元",截至108年09月底實際進度：  70.00%,
10590,原住民及花東離島地區殯葬設施改善計畫-錦水村斯瓦細格公墓納骨牆設施工程,奕僑工程顧問有限公司,天乙營造有限公司,民國108年07月24日至108年10月30日,"18,760千元",截至108年08月底實際進度：   9.80%,
10591,108年3月豪雨(H3)-泰安鄉中興村等二件災害復建工程,新向榮工程顧問有限公司,昌振土木包工業,民國108年08月05日至108年09月18日,"2,040千元",截至108年09月底實際進度：  60.00%,
10592,泰安鄉象鼻村永安北支線側駁坎及士林村中間部落排水改善工程,新向榮工程顧問有限公司,昌振土木包工業,民國108年07月24日至108年10月07日,"1,310千元",截至108年09月底實際進度： 100.00%,
10593,苗栗縣泰安鄉公共溫泉管線改善工程,誠邦工程顧問股份有限公司,誠東營造有限公司,民國107年09月06日至107年12月06日,"2,948千元",截至108年09月底實際進度：  29.00%,
10594,苗栗縣政府消防局第五大隊泰安分隊興建暨水土保持工程案,川原建築師事務所,唐安營造工程有限公司,民國108年02月22日至109年03月16日,"44,811千元",截至108年09月底實際進度：  48.91%,
10595,107年度泰安鄉衛生所空間整修工程,金山建築師事務所,晶彩室內裝修企業社,民國108年07月15日至108年11月12日,"2,848千元",截至108年08月底實際進度：  23.94%,
10596,泰安鄉八卦村4鄰農路改善二期工程,鋒璟工程顧問企業股份有限公司,成洋土木包工業(苗栗縣),民國108年07月18日至年月日,"3,376千元",截至108年08月底實際進度：  30.00%,
10597,汶水溪上游橫龍山段三期整治工程,森堡工程技術顧問有限公司,川石營造有限公司,民國108年08月07日至109年02月22日,"3,485千元",截至108年08月底實際進度：  37.00%,
10598,八卦村4鄰農路改善工程,鋒璟工程顧問企業股份有限公司,寶鋐土木包工業（台中市東勢區）,民國108年08月08日至109年01月04日,"2,577千元",截至108年08月底實際進度：  20.00%,
10599,梅園天狗部落上方坑溝整治二期工程,山林技術顧問有限公司,聯東土木包工業(苗栗縣),民國108年05月08日至108年10月04日,"1,968千元",截至108年08月底實際進度：  80.00%,
10600,錦卦聯絡道支線農路路面及排水溝改善二期工程,鋒璟工程顧問企業股份有限公司,吉笙營造有限公司,民國108年03月28日至109年01月29日,"2,976千元",截至108年08月底實際進度： 100.00%,
10601,梅園三號橋上游整治二期工程,豐得工程顧問有限公司,茗翔營造有限公司,民國108年07月10日至109年01月05日,"7,965千元",截至108年08月底實際進度：  48.00%,
10602,泰安梅園1088地號旁坑溝整治工程,山林技術顧問有限公司,川石營造有限公司,民國108年05月01日至108年09月27日,"3,416千元",截至108年08月底實際進度：  82.00%,
10603,泰安鄉麻必浩部落苧麻文化體驗場域營造工程,泰禹工程技術顧問有限公司,華采營造有限公司,民國108年05月27日至108年12月06日,"7,780千元",截至108年09月底實際進度：  47.00%,
10604,大安部落旁野溪整治工程,乾坤技術顧問股份有限公司,煜昇營造有限公司,民國108年08月21日至109年03月08日,"8,398千元",截至年月底實際進度：(未填)%,
10605,樂山林道5K∼6.5K路面及排水改善工程,兆豐工程技術顧問股份有限公司,冠驊營造有限公司,民國108年03月01日至108年09月05日,"11,880千元",截至108年08月底實際進度：  56.00%,
10606,遊客服務設施改善工程(雪見遊憩區),嵩豐工程顧問有限公司,敬璟工程有限公司(台中市),民國108年08月22日至108年11月04日,"5,476千元",截至108年09月底實際進度：  54.70%,
10607,新店社區觀魚步道南側入口休憩空間整合改善工程,夆睿工程顧問有限公司,順冠營造有限公司,民國106年12月22日至108年09月06日,"6,068千元",截至108年08月底實際進度：  99.90%,
10608,竹木社區東坑巨石周邊環境改善第二期工程,居易技術顧問有限公司,禾家豐營造有限公司,民國108年09月13日至108年12月09日,"1,241千元",截至年月底實際進度：(未填)%,
10609,獅潭鄉小東勢農路改善工程,誠邦工程顧問股份有限公司,威泰發營造有限公司,民國108年07月26日至108年12月02日,"2,922千元",截至108年09月底實際進度：  28.00%,
10610,108年度縣鄉道等路面破損修復工程(第六區開口契約),魯班工程顧問有限公司,統集營造有限公司,民國107年12月14日至108年12月31日,"7,080千元",截至108年08月底實際進度：  65.00%,
10611,獅潭鄉新店村邊坡災後復建工程,,平記土木包工業,民國108年09月20日至109年01月13日,"2,610千元",截至年月底實際進度：(未填)%,
10612,獅潭鄉百壽村5鄰野溪護岸工程,華聯工程顧問有限公司,聯和營造工程有限公司,民國108年05月31日至108年08月09日,"1,060千元",截至108年08月底實際進度： 100.00%,
10613,108年度3月豪雨G1-獅潭鄉竹木村大興窩野溪及新店村三份野溪護岸災後復建等二件工程,益將工程技術顧問有限公司,揚竣土木包工業(苗栗縣),民國108年08月22日至108年11月01日,"1,080千元",截至108年09月底實際進度：  65.77%,
10614,108年度3月豪雨(G1)-獅潭鄉和興村苗65支線野溪護岸及食水坑12鄰農路災後復建等二件工程,益將工程技術顧問有限公司,揚竣土木包工業(苗栗縣),民國108年08月22日至108年11月01日,"1,348千元",截至108年09月底實際進度：  68.22%,
10615,苗栗縣獅潭仙山靈洞宮重建工程(已解約),昌勝工程顧問股份有限公司,彰泰營造有限公司,民國104年12月22日至106年02月28日,"20,140千元",截至108年08月底實際進度：  11.00%,
10616,三份農路改善工程,山河工程顧問有限公司,樺薪土木包工業,民國108年08月08日至109年01月04日,"2,546千元",截至108年08月底實際進度：  30.00%,
10617,獅潭新豐高橋坑野溪整治工程,亞際工程技術顧問有限公司,國立土木包工業(苗栗縣),民國108年08月14日至108年12月11日,"2,010千元",截至108年08月底實際進度：  39.00%,
10618,獅潭新店8鄰野溪整治工程,亞際工程技術顧問有限公司,三齊實業有限公司,民國108年07月10日至109年01月25日,"7,990千元",截至108年08月底實際進度：  46.00%,
10619,十九份農路改善工程,水昱方工程顧問有限公司,國立土木包工業(苗栗縣),民國108年04月11日至108年10月30日,"2,880千元",截至108年08月底實際進度：  90.00%,
10620,獅潭鄉大東勢溪大東勢尾野溪整治工程,亞際工程技術顧問有限公司,高振營造有限公司,民國107年11月14日至108年11月20日,"20,716千元",截至108年08月底實際進度：  81.00%,
10621,永興村6鄰農塘改善工程,豐得工程顧問有限公司,川石營造有限公司,民國108年04月18日至109年01月05日,"2,930千元",截至108年09月底實際進度：  68.00%,
10622,獅潭永興7鄰野溪整治工程,水昱方工程顧問有限公司,川石營造有限公司,民國108年04月03日至108年09月17日,"2,980千元",截至108年08月底實際進度：  95.00%,
10623,台3線新莊隧道及百壽隧道改善補強工程,交通部公路總局第二區養護工程處苗栗工務段,銓湧營造有限公司,民國108年01月26日至109年02月28日,"36,880千元",截至108年09月底實際進度：  46.33%,
10624,超一路345kV天輪~龍潭線#76鐵塔改建工程,台灣電力股份有限公司輸變電工程處南區施工處,振立工程有限公司,民國108年09月06日至109年06月30日,"5,710千元",截至108年09月底實際進度：   2.40%,
10625,108年度苗栗縣124甲線及124乙線沿線暨周邊綠美化養護工程,苗栗縣政府農業處林務科,凱地園景有限公司,民國108年06月12日至109年06月30日,"2,833千元",截至108年09月底實際進度：  40.00%,
10626,大河社區聯絡道路鋪面改善二期工程,居易技術顧問有限公司,亦陞營造有限公司,民國108年09月06日至108年11月05日,"1,668千元",截至年月底實際進度：(未填)%,
10627,三灣鄉大河村4鄰農路改善工程,泰禹工程技術顧問有限公司,國翔土木包工業,民國108年08月02日至108年10月14日,"1,081千元",截至108年09月底實際進度：  82.40%,
10628,108年度縣鄉道等路面破損修復工程(第九區開口契約),茗竑工程顧問有限公司,亦陞營造有限公司,民國107年12月22日至108年12月31日,"7,030千元",截至108年09月底實際進度：  47.00%,
10629,三灣鄉內灣村6鄰及頭份市上興里吉祥路擋土牆排水溝及護欄改善工程,茗竑工程顧問有限公司,合晟土木包工業(苗栗縣),民國108年09月06日至108年11月24日,918千元,截至108年09月底實際進度：  30.00%,
10630,三灣鄉北埔村4鄰及頂寮村4鄰AC路面改善工程,茗竑工程顧問有限公司,亦陞營造有限公司,民國108年08月16日至108年10月14日,"1,545千元",截至108年09月底實際進度：  80.00%,
10631,三灣至南庄優質綠色路網工程,昌勝工程顧問股份有限公司,新明營造有限公司,民國108年03月01日至108年11月28日,"27,390千元",截至108年08月底實際進度：  81.28%,
10632,107年「旅｜驛」,茗竑工程顧問有限公司,慶鼎營造有限公司,民國108年02月12日至108年06月23日,"5,444千元",截至108年08月底實際進度： 100.00%,
10633,108年度村民大會議決案小型工程,茗竑工程顧問有限公司,舜力土木包工業(苗栗縣),民國108年08月15日至108年11月22日,"2,035千元",截至108年09月底實際進度：  30.00%,
10634,苗栗縣政府消防局第三大隊三灣分隊辦公廳舍耐震補強及修繕工程,龍華工程技術顧問有限公司,至揚營造有限公司,民國108年07月10日至108年12月06日,"3,950千元",截至108年09月底實際進度：  67.58%,
10635,三灣北平野溪整治工程,乾坤技術顧問股份有限公司,三齊實業有限公司,民國108年05月08日至108年11月23日,"7,977千元",截至108年08月底實際進度：  67.00%,
10636,三灣南港溪大河底段支流整治工程,亞際工程技術顧問有限公司,加山營造有限公司,民國108年03月06日至108年08月31日,"1,180千元",截至108年08月底實際進度：  88.00%,
10637,三灣內灣段野溪整治三期工程,將暐工程技術顧問有限公司,舜力土木包工業(苗栗縣),民國108年08月07日至109年02月02日,"4,310千元",截至108年08月底實際進度：  38.00%,
10638,三灣大坪幹64桿野溪整治二期工程,聯達工程技術顧問有限公司,三齊實業有限公司,民國108年04月03日至108年08月13日,"4,038千元",截至108年08月底實際進度： 100.00%,
10639,三灣大河錫隘野溪二期整治工程,山林技術顧問有限公司,冠驊營造有限公司,民國108年04月10日至108年10月17日,"6,255千元",截至108年08月底實際進度：  78.00%,
10640,大坪野溪河道治理工程,將暐工程技術顧問有限公司,齊力營造工程股份有限公司,民國108年03月27日至108年12月31日,"12,566千元",截至108年08月底實際進度：  56.40%,
10641,三灣大坪林野溪整治工程,山林技術顧問有限公司,三齊實業有限公司,民國108年03月06日至108年11月23日,"3,163千元",截至108年08月底實際進度：  95.00%,
10642,三灣鄉大河村大河底汰換管線工程,台灣自來水股份有限公司第三區管理處,力麟水電工程有限公司,民國107年10月21日至108年10月21日,"16,533千元",截至108年08月底實際進度：  15.00%,
10643,錦水國民小學改善無障礙校園暨校舍合法化工程,元埕建築事務所,大永陞營造有限公司,民國108年06月25日至109年07月15日,"6,985千元",截至108年08月底實際進度：  29.72%,
10644,造橋國民中學105年度老舊校舍教學大樓重建工程之水土保持工程,麗鄴工程顧問有限公司,加又土木包工業,民國106年11月22日至109年01月02日,"2,400千元",截至108年09月底實際進度：  89.65%,
10645,造橋鄉大龍村三百六坑野溪護岸整治工程,暘昇工程顧問有限公司,力統土木包工業,民國108年07月21日至109年01月04日,"3,860千元",截至108年09月底實際進度：  45.00%,
10646,108年度造橋鄉縣管河川及區域排水疏濬清淤工程,暘昇工程顧問有限公司,佳翔營造有限公司,民國108年06月01日至108年07月30日,770千元,截至108年09月底實際進度： 100.00%,
10647,苗栗縣造橋鄉台13甲道路綠色生態景觀廊道工程,暘昇工程顧問有限公司,天乙營造有限公司,民國107年12月26日至108年10月17日,"33,000千元",截至108年09月底實際進度：  81.00%,
10648,107年度造橋鄉各級道路改善工程,暘昇工程顧問有限公司,亦陞營造有限公司,民國108年05月06日至108年08月03日,"10,056千元",截至108年09月底實際進度： 100.00%,
10649,苗栗縣造橋鄉台13甲道路綠色生態景觀廊道工程（新增項目及逾契約30％項目議價）,暘昇工程顧問有限公司,天乙營造有限公司,民國108年07月01日至108年11月14日,"3,367千元",截至108年09月底實際進度：  88.00%,
10650,107年度造橋鄉小型建設水利及水保設施工程(第1案),暘昇工程顧問有限公司,舜力土木包工業(苗栗縣),民國108年04月12日至108年08月19日,"1,937千元",截至108年09月底實際進度：  75.00%,
10651,107年度造橋鄉小型建設水利及水保設施工程(第2案),暘昇工程顧問有限公司,信昌土木包工業(苗栗縣),民國108年04月03日至108年08月08日,"1,643千元",截至108年09月底實際進度： 100.00%,
10652,東興農路改善工程,乾坤技術顧問股份有限公司,戰道營造有限公司,民國108年07月04日至108年10月31日,"2,547千元",截至108年08月底實際進度：  50.00%,
10653,龍昇村13鄰農路改善工程,程泰工程技術顧問公司,協勝土木包工業,民國108年06月27日至108年09月14日,"1,720千元",截至108年08月底實際進度：  90.00%,
10654,台13甲線豐湖國小至北勢大橋(11K+600~13K+700)路段改善工程,交通部公路總局第二區養護工程處苗栗工務段,嘉鑫營造有限公司,民國106年08月07日至108年10月20日,"185,010千元",截至108年08月底實際進度：  99.65%,台灣世曦工程顧問股份有限公司
10655,108年度苗栗段轄區省道台3、台6及台13甲線綠美化維護及災害搶修工程,交通部公路總局第二區養護工程處苗栗工務段,自然生技景觀有限公司,民國107年12月01日至108年11月30日,"7,400千元",截至108年09月底實際進度：  70.00%,
10656,臺鐵成功追分段鐵路雙軌化新建工程(周邊路線改善通訊部分),交通部臺灣鐵路管理局專案工程處彰化電務隊,騰隆工業工程股份有限公司,民國107年09月03日至109年04月15日,"3,880千元",截至108年09月底實際進度：   8.40%,
10657,龍洞社區雷公崁溪護岸(二期)工程,巧將工程顧問有限公司,旭昇營造有限公司,民國108年09月06日至108年11月18日,"1,737千元",截至108年09月底實際進度：  35.10%,
10658,西湖鄉三湖村13鄰道路改善工程,暘昇工程顧問有限公司,旭昇營造有限公司,民國108年06月21日至108年08月19日,791千元,截至108年09月底實際進度：   5.00%,
10659,西湖鄉金獅村2鄰東勢窩野溪災後復建工程,,尚聯營造有限公司,民國108年09月20日至108年12月13日,"1,898千元",截至年月底實際進度：(未填)%,
10660,西湖鄉四湖村10鄰羅東野溪災後復建工程,上昕工程顧問股份有限公司,平記土木包工業,民國108年07月26日至108年10月21日,"2,244千元",截至108年08月底實際進度：  20.00%,
10661,西湖國小瑞湖分校教學大樓防水隔熱工程,李瑞昌建築師事務所,鼎照土木包工業,民國108年09月25日至108年11月10日,"1,660千元",截至年月底實際進度：(未填)%,
10662,西湖國小活動中心防水隔熱工程,林厥文建築師事務所,富斌營造有限公司,民國108年07月25日至108年09月22日,"1,020千元",截至108年09月底實際進度： 100.00%,
10663,西湖鄉第二公墓增建第二座納骨塔統包工程,惇陽工程顧問有限公司,唐安營造工程有限公司,民國107年10月10日至109年07月30日,"142,000千元",截至108年08月底實際進度：   2.36%,唐安營造工程有限公司
10664,108年度各村小型建設工程(三湖、四湖、五湖、高埔、下埔村),暘昇工程顧問有限公司,昇達土木包工業(苗栗縣),民國108年09月02日至108年11月30日,"2,150千元",截至108年09月底實際進度：  30.00%,
10665,西湖鄉三湖村12鄰打鐵坑野溪災後復建工程,山林技術顧問有限公司,辛瑞營造有限公司,民國108年08月02日至108年10月01日,"1,390千元",截至108年08月底實際進度：  10.00%,
10666,108年度各村小型建設工程(二湖、湖東、金獅、龍洞村),暘昇工程顧問有限公司,德泰土木包工業,民國108年09月04日至108年12月12日,"2,540千元",截至108年09月底實際進度：  30.00%,
10667,上埔頂滯洪保水設施改善工程,豐得工程顧問有限公司,玖鋒營造有限公司,民國108年04月08日至109年02月09日,"3,164千元",截至108年09月底實際進度：  90.00%,
10668,西湖鄉龍洞村2鄰滯洪保水設施改善工程,程泰工程技術顧問公司,和成土木包工業(苗栗縣),民國108年04月11日至109年03月29日,"3,542千元",截至108年08月底實際進度：  50.00%,
10669,楓廚滯洪保水設施改善工程,程泰工程技術顧問公司,川石營造有限公司,民國108年04月11日至109年02月19日,"3,747千元",截至108年09月底實際進度：  65.00%,
10670,埔頂滯洪保水設施改善工程,乾坤技術顧問股份有限公司,川石營造有限公司,民國108年05月02日至109年01月19日,"2,620千元",截至108年09月底實際進度：  80.00%,
10671,西湖鄉高埔村2鄰滯洪保水設施改善工程,豐得工程顧問有限公司,晉升營造有限公司,民國108年05月02日至109年03月04日,"3,662千元",截至108年09月底實際進度：  55.00%,
10672,二湖村8鄰農路（農苗西004）改善工程,程泰工程技術顧問公司,協勝土木包工業,民國108年06月27日至108年10月11日,"2,990千元",截至108年08月底實際進度：  90.00%,
10673,西湖服務區污水設備改善工程,吳朗嘉環境工程技師事務所,同隆工程股份有限公司,民國108年06月11日至109年01月06日,"12,495千元",截至108年09月底實際進度：  12.31%,
10674,西湖服務區南站廁所整建工程,莊加政建築師事務所,名基營造股份有限公司,民國108年07月31日至109年03月26日,"28,000千元",截至108年09月底實際進度：  15.00%,
10675,108年度苗栗縣苗52線沿線暨周邊景觀綠美化養護工程,苗栗縣政府農業處林務科,哈柏園藝有限公司,民國108年05月16日至109年05月17日,"1,270千元",截至108年09月底實際進度：  40.00%,
10676,108年度苗栗縣重要聯絡道路黃金廊道綠美化栽植工程,苗栗縣政府農業處林務科,凱地園景有限公司,民國108年02月11日至109年03月01日,"2,146千元",截至108年09月底實際進度：  70.00%,
10677,108年度縣鄉道等路面破損修復工程(第三區開口契約),暘昇工程顧問有限公司,北鑫營造有限公司,民國107年12月17日至109年01月31日,"7,080千元",截至108年09月底實際進度：  55.00%,
10678,三義鄉勝興村23鄰坑溝整治工程,上昕工程顧問股份有限公司,冠旭土木包工業,民國108年07月26日至108年10月21日,"3,225千元",截至108年08月底實際進度：  20.00%,
10679,三義高中迎曦堂防水隔熱改善工程,陳憲墀結構技師事務所,佰泓營造有限公司,民國108年07月03日至108年08月31日,"2,032千元",截至108年08月底實際進度： 100.00%,
10680,三義高中行政樓、勤學樓防水隔熱改善工程案,毛軒揚建築師事務所,裕�睎蝟y有限公司,民國108年07月30日至108年10月07日,"3,938千元",截至108年08月底實際進度：  25.00%,
10681,107年度第三河川局補助全鄉公益支出工程,鈺霖工程顧問有限公司,冠翔營造有限公司,民國107年10月11日至108年01月03日,"3,280千元",截至108年09月底實際進度： 100.00%,
10682,107年度鯉魚潭水庫營運公益支出工程,鈺霖工程顧問有限公司,冠翔營造有限公司,民國107年10月11日至108年01月04日,"3,000千元",截至108年09月底實際進度： 100.00%,
10683,108年度道路申挖及零星修補改善工程(開口契約),鈺霖工程顧問有限公司,隆源營造股份有限公司,民國108年06月30日至108年12月31日,"5,400千元",截至108年08月底實際進度：  39.60%,
10684,三義鄉鯉魚潭鳳龍山寺客家聚落步道修建工程,昌勝工程顧問股份有限公司,天乙營造有限公司,民國107年07月19日至108年05月31日,"8,380千元",截至108年08月底實際進度： 100.00%,
10685,108年度三義鄉農水路修繕工程（開口契約）,鈺霖工程顧問有限公司,永新土木包工業(苗栗縣),民國108年02月25日至108年12月31日,"2,100千元",截至108年08月底實際進度：  61.00%,
10686,108年度三義鄉縣管河川及區域排水疏濬清淤工程,鈺霖工程顧問有限公司,永基土木包工業,民國108年06月15日至108年12月31日,940千元,截至108年08月底實際進度： 100.00%,
10687,108年度三義鄉全鄉路燈維修工程,苗栗縣三義鄉公所,盛良水電行,民國108年01月01日至108年12月31日,"2,380千元",截至108年08月底實際進度：  67.00%,
10688,三義鄉108年03月豪雨水土保持公共設施災後復建工程等2案(西湖村、龍騰村),鈺霖工程顧問有限公司,和新營造有限公司,民國108年08月02日至108年10月25日,"1,470千元",截至108年08月底實際進度：  30.00%,
10689,苗栗縣三義鄉民代表會辦公廳舍興建工程,張薰合建築師事務所,明緯營造有限公司,民國107年03月03日至107年11月25日,"13,000千元",截至108年08月底實際進度： 100.00%,
10690,108年度第三河局補助全鄉公益支出工程,鈺霖工程顧問有限公司,隆源營造股份有限公司,民國108年09月09日至108年11月30日,"2,490千元",截至年月底實際進度：(未填)%,
10691,臺鐵舊山線景觀風貌改善工程,元埕建築事務所,沅通營造有限公司,民國106年09月10日至106年12月08日,"1,983千元",截至108年09月底實際進度： 100.00%,
10692,西湖村6鄰農路改善工程,豐得工程顧問有限公司,進盈土木包工業有限公司,民國108年07月01日至108年11月07日,"2,334千元",截至108年09月底實際進度：  50.00%,
10693,西湖村下湖3鄰野溪整治工程,山林技術顧問有限公司,川石營造有限公司,民國108年08月28日至109年01月24日,"2,238千元",截至年月底實際進度：(未填)%,
10694,聖靈宮旁9鄰排水整治工程,山林技術顧問有限公司,川石營造有限公司,民國108年08月28日至109年01月24日,"1,208千元",截至108年09月底實際進度：  44.00%,
10695,農苗義004農路改善二期工程,鋒璟工程顧問企業股份有限公司,金豐隆營造工程有限公司,民國108年08月08日至108年11月05日,"1,350千元",截至108年08月底實際進度：  40.00%,
10696,三義鄉三叉段402號西坑野溪整治工程,豐得工程顧問有限公司,松豐營造有限公司,民國107年11月14日至108年10月24日,"7,400千元",截至108年08月底實際進度：  84.00%,
10697,三義鄉鯉魚社區文化體驗空間營造工程,林鑑澄建築師事務所,松岡營造有限公司,民國108年07月06日至109年01月06日,"7,420千元",截至108年09月底實際進度：  15.00%,
10698,三義鄉龍騰村6鄰農路改善工程,山河工程顧問有限公司,盈盛營造有限公司,民國108年08月01日至108年11月28日,"1,530千元",截至108年08月底實際進度：  30.00%,
10699,廣盛村青志金屬公司旁野溪護岸整修工程,鋒璟工程顧問企業股份有限公司,金豐隆營造工程有限公司,民國108年08月14日至108年12月11日,"1,056千元",截至108年08月底實際進度：  39.00%,
10700,鯉魚潭原水站擋土牆工程,台灣自來水股份有限公司第四區管理處鯉魚潭給水廠,東北土木包工業,民國108年07月22日至108年12月30日,"2,638千元",截至108年09月底實際進度：  53.00%,
10701,鯉魚潭水庫景山水力發電工程,台灣電力股份有限公司綜合施工處,遠東機械工業股份有限公司,民國106年10月19日至109年07月07日,"215,250千元",截至108年08月底實際進度：  57.91%,遠東機械工業股份有限公司
10702,景山溪景山13號堤段防災減災工程,經濟部水利署第三河川局,資生營造有限公司,民國107年12月20日至108年08月27日,"22,000千元",截至108年08月底實際進度： 100.00%,
10703,大安溪斷面30-33河段疏濬工程兼供土石採售分離作業(支出一【疏濬工程】),經濟部水利署第三河川局管理課,俊一營造有限公司,民國108年03月21日至109年03月19日,"22,190千元",截至108年09月底實際進度：  53.40%,
10704,108年度苗栗縣苗8線、苗16線、苗29線暨周邊沿線綠美化養護工程,苗栗縣政府農業處林務科,立馥園藝有限公司,民國108年01月10日至109年01月11日,"3,180千元",截至108年09月底實際進度：  80.00%,
10705,108年度苗栗縣苗126線沿線暨周邊綠美化養護工程,苗栗縣政府農業處林務科,萬鴻造景有限公司,民國108年08月09日至109年08月10日,"2,360千元",截至108年09月底實際進度：  10.00%,
10706,苗16線1K+000段道路復建工程,暘昇工程顧問有限公司,元暘土木包工業,民國108年08月02日至108年09月15日,"1,060千元",截至108年09月底實際進度： 100.00%,
10707,頭屋鄉曲洞村8、9、10鄰路面改善工程,暘昇工程顧問有限公司,平記土木包工業,民國108年09月20日至108年10月19日,973千元,截至108年09月底實際進度：   5.00%,
10708,苗栗縣立頭屋國民中學107年度(第三次補助)音樂教室暨專科教室大樓防水隔熱工程採購案,夆睿工程顧問有限公司,富鼎土木包工業(苗栗縣),民國108年07月03日至108年08月31日,"1,130千元",截至108年08月底實際進度：  95.00%,
10709,108年頭屋鄉各村農路改善工程,暘昇工程顧問有限公司,益發營造有限公司,民國108年07月30日至108年11月26日,"3,970千元",截至108年08月底實際進度：  28.00%,
10710,108年度苗栗縣頭屋鄉明德水庫遊憩空間改善計畫,益將工程技術顧問有限公司,定莛營造有限公司,民國108年09月26日至108年12月14日,"6,560千元",截至108年09月底實際進度：   3.00%,
10711,苗栗縣頭屋鄉象山村五樟樹客庄伯公廟周邊環境營造計畫,益將工程技術顧問有限公司,永基土木包工業,民國108年09月16日至108年12月04日,"2,870千元",截至108年09月底實際進度：   8.32%,
10712,108年度道路修復工程(第2次),麗鄴工程顧問有限公司,文泉營造股份有限公司,民國108年09月06日至108年10月05日,"2,040千元",截至108年09月底實際進度：  95.00%,
10713,頭屋鄉鳴鳳村7鄰野溪護岸復建工程,上昕工程顧問股份有限公司,川氏土木包工業,民國108年08月30日至108年11月28日,"1,277千元",截至108年09月底實際進度：  29.20%,
10714,公共服務據點整備-整建長照衛福據點-頭屋鄉老人文康活動中心修繕工程,益將工程技術顧問有限公司,欣岳營造有限公司,民國108年06月30日至108年09月27日,"5,120千元",截至108年09月底實際進度： 100.00%,
10715,頭屋鄉飛鳳村1鄰農路崩塌復建工程,上昕工程顧問股份有限公司,川氏土木包工業,民國108年07月26日至108年10月23日,"1,348千元",截至108年09月底實際進度： 100.00%,
